snr_db,recall
-14.0,0.034050833029303895
-13.0,0.04930372600676837
-12.0,0.07649028801070643
-11.0,0.09083707420120268
-10.0,0.10328521652562178
-9.0,0.10573042776431184
-8.0,0.15518900343640477
-7.0,0.16288832913515772
-6.0,0.18899348298332258
-5.0,0.22075615326056575
-4.0,0.2665942928039289
-3.0,0.33853441069931195
-2.0,0.31419762149459485
-1.0,0.3783158544107991
0.0,0.3764806621948942
1.0,0.42730109204361505
2.0,0.4286317567566964
3.0,0.4531082529474205
4.0,0.5117176336095296
5.0,0.5087354409317097
6.0,0.5555555555554732
7.0,0.5735821966976922
8.0,0.5729137398144741
9.0,0.5724417426544257
10.0,0.623233675442418
11.0,0.6189313415684259
12.0,0.6082380457379667
13.0,0.5853719420867965
14.0,0.6632263537394792
15.0,0.6436496350364024
