snr_db,recall
-14.0,0.04955321658761901
-13.0,0.06096888412210762
-12.0,0.08049028801070643
-11.0,0.09483707420120269
-10.0,0.10728521652562178
-9.0,0.13009797474662121
-8.0,0.15918900343640477
-7.0,0.19565861124920428
-6.0,0.23409374569633337
-5.0,0.2677473952655467
-4.0,0.33553219683256863
-3.0,0.39452020106510904
-2.0,0.42587474550187693
-1.0,0.4791893233376822
0.0,0.4917068392023338
1.0,0.5330417280054248
2.0,0.5888013581951174
3.0,0.6137561548879298
4.0,0.6604476661344731
5.0,0.6973849781520507
6.0,0.7215158207466366
7.0,0.7287246809817065
8.0,0.7639450826708275
9.0,0.7917133924254733
10.0,0.8117628502145138
11.0,0.8188402476196772
12.0,0.826231128191631
13.0,0.830229245332805
14.0,0.8591107598738296
15.0,0.8701309489050963
